CODIGO,COMUNA,HOMBRE,MUJER,INDETERMINADO,TOTAL,Category,A,B,C,D,00 a 02 años,03 a 04 años,05 a 09 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,Más de 99 años,S.I.,Total general
13115,LO BARNECHEA,,,,,TRAMO EDAD,,,,,922.0,714.0,2233.0,2518.0,2455.0,2611.0,3033.0,3326.0,3079.0,2921.0,3077.0,3293.0,3686.0,3279.0,2397.0,1516.0,1061.0,711.0,389.0,200.0,76.0,19.0,4.0,43520.0
13116,LO ESPEJO,,,,,TRAMO EDAD,,,,,2607.0,2093.0,6031.0,6690.0,5937.0,6525.0,7637.0,8624.0,7230.0,6128.0,4895.0,5503.0,5833.0,6441.0,5173.0,3364.0,2336.0,1541.0,916.0,496.0,146.0,38.0,43.0,96227.0
13117,LO PRADO,,,,,TRAMO EDAD,,,,,2982.0,2434.0,7274.0,7664.0,7408.0,8426.0,9631.0,10352.0,8710.0,7890.0,7648.0,8518.0,8047.0,7234.0,5472.0,4387.0,4070.0,3021.0,1558.0,646.0,177.0,63.0,63.0,123675.0
13118,MACUL,,,,,TRAMO EDAD,,,,,2083.0,1942.0,6376.0,6515.0,6594.0,7927.0,10203.0,11240.0,9549.0,8381.0,7810.0,7664.0,7827.0,7676.0,6293.0,4926.0,4068.0,2949.0,1664.0,821.0,316.0,116.0,73.0,123013.0
13119,MAIPÚ,,,,,TRAMO EDAD,,,,,8075.0,6061.0,20250.0,22518.0,22707.0,25871.0,28933.0,28153.0,24639.0,21047.0,19202.0,21222.0,24228.0,25813.0,21130.0,14717.0,10559.0,6670.0,3296.0,1445.0,393.0,78.0,43.0,357050.0
13120,ÑUÑOA,,,,,TRAMO EDAD,,,,,1996.0,1481.0,4504.0,4686.0,4615.0,5819.0,8607.0,9932.0,8901.0,7638.0,6710.0,6270.0,6586.0,7818.0,7407.0,5630.0,4762.0,3727.0,2446.0,1628.0,642.0,121.0,45.0,111971.0
13121,PEDRO AGUIRRE CERDA,,,,,TRAMO EDAD,,,,,2566.0,2173.0,6251.0,6566.0,6228.0,7125.0,8507.0,9177.0,8087.0,7230.0,6094.0,6254.0,6786.0,7742.0,6396.0,4471.0,3067.0,2021.0,1244.0,746.0,248.0,75.0,56.0,109110.0
13122,PEÑALOLÉN,,,,,TRAMO EDAD,,,,,4848.0,3624.0,11747.0,13604.0,13457.0,14760.0,17038.0,17604.0,14811.0,13304.0,13258.0,14524.0,13460.0,11366.0,8963.0,7281.0,5946.0,4041.0,2042.0,797.0,246.0,148.0,338.0,207207.0
13123,PROVIDENCIA,,,,,TRAMO EDAD,,,,,985.0,850.0,2538.0,2561.0,2773.0,3747.0,5805.0,7178.0,6777.0,6057.0,5174.0,5107.0,5062.0,5415.0,5305.0,4447.0,3844.0,2908.0,1803.0,1185.0,493.0,158.0,32.0,80204.0
13124,PUDAHUEL,,,,,TRAMO EDAD,,,,,5001.0,3959.0,12387.0,13774.0,13554.0,14665.0,17210.0,17787.0,15349.0,13575.0,12474.0,13126.0,13745.0,13267.0,10399.0,6982.0,4770.0,3088.0,1502.0,677.0,163.0,66.0,110.0,207630.0
